"","Group.1","x"
"1",1972,0.668600435097897
"2",1973,0.625776397515528
"3",1974,0.656597774244833
"4",1975,0.642630744849445
"5",1976,0.668
"6",1977,0.653961136023916
"7",1978,0.62037037037037
"8",1980,0.62396694214876
"9",1982,0.687965260545906
"10",1983,0.609510086455331
"11",1984,0.5890625
"12",1985,0.551976573938507
"13",1986,0.581431943351692
"14",1987,0.644514106583072
"15",1988,0.565116279069767
"16",1989,0.529766390354182
"17",1990,0.514571190674438
"18",1991,0.514896867838044
"19",1993,0.536727272727273
"20",1994,0.556521739130435
"21",1996,0.555879899916597
"22",1998,0.576434515987735
"23",2000,0.568690095846645
"24",2002,0.552717138875987
"25",2004,0.539130434782609
"26",2006,0.57364114552893
"27",2008,0.595757575757576
"28",2010,0.593576281655343
"29",2012,0.609262883235486
"30",2014,0.596509240246407
"31",2016,0.595633187772926
"32",2018,0.569078947368421
