"","prev","b1","r2"
"0",0.5,0.0202690174512596,2.60995364633435e-06
"0.0416666666666667",0.510415159887365,0.4447473348153,0.0420220124181332
"0.0833333333333333",0.520821285372743,0.625654156714675,0.0831561447260995
"0.125",0.531209373373756,0.787099337318423,0.122460369255978
"0.166666666666667",0.5415704832168,0.932269767154824,0.158684946995128
"0.208333333333333",0.551895767268231,1.06194068027017,0.192202031917367
"0.25",0.562176500885798,1.19273386603378,0.218248155701994
"0.291666666666667",0.572404111477021,1.32686016603721,0.236984494620442
"0.333333333333333",0.582570206462315,1.443142817015,0.277511487005689
"0.375",0.59266659995407,1.56186745670968,0.293148455050742
"0.416666666666667",0.602685337978492,1.67532354341412,0.318216111536643
"0.458333333333333",0.612618722084366,1.81987570682728,0.338752074115793
"0.5",0.622459331201855,1.94668374328394,0.350539878320333
"0.541666666666667",0.632200041634519,2.08298063317568,0.375463150064075
"0.583333333333333",0.641834045088731,2.21352069084743,0.377142601610747
"0.625",0.651354864666054,2.32921451853269,0.393559416736502
"0.666666666666667",0.660756368765817,2.45612611361097,0.417910511606053
"0.708333333333333",0.670032782866484,2.67079303315255,0.433988399632349
"0.75",0.679178699175393,2.73808451043225,0.438468620550051
"0.791666666666667",0.688189084156563,2.96602053354216,0.45930093818403
"0.833333333333333",0.697059283965407,3.19918866677645,0.459597760734004
"0.875",0.705785027837011,3.24838411560802,0.483303680486904
"0.916666666666667",0.714362429491056,3.44405445178686,0.486686956102438
"0.958333333333333",0.722787986631225,3.59070775082672,0.505862372501591
"1",0.731058578630005,3.77378760679173,0.517940314033763
